id,name,family,mode,bars,steps,subdivision,density,polyphony,minNote,maxNote,colour,tags,bank,harmonyId,studyId,nodeId
"fourth-078354488c494b9144efb5eb","Kaleidoscope R0456 - kit 2b","Kaleidoscope","rhythmic","2","32","4","0.84375","1.6296296296296295","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 4spq, dense, kit, displaced, tight, composite, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-22","nmsj94lub_3"
"fourth-ee77d9d3b5165accd99311a6","Kaleidoscope R0457 - kit 1b","Kaleidoscope","rhythmic","1","16","4","0.75","1.25","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 1bar, straight, 4spq, dense, kit, displaced, tight, composite, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-26","nmsj94lub_3"
"fourth-1481ec030b8211f113a428a8","Kaleidoscope R0458 - kit 4b","Kaleidoscope","rhythmic","4","64","4","0.984375","1.8412698412698412","36","51","#E58DB8","factory, rn, kaleidoscope, rhythmic, 4bar, straight, 4spq, dense, kit, displaced, tight, composite, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-40","nmsj94lub_3"
"fourth-49535cd322a5e58256dd30d9","Kaleidoscope R0459 - kit 2b","Kaleidoscope","rhythmic","2","32","4","0.8125","2.1538461538461537","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 4spq, dense, kit, displaced, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-27","nmsgyce1b_3"
"fourth-4dccbe401b797b875b66afaa","Kaleidoscope R0460 - kit 1b","Kaleidoscope","rhythmic","1","24","6","0.6666666666666666","1.4375","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 1bar, triplet, 6spq, open, kit, displaced, tight, cell, 8lane, 3bit","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-26","nmsgyce1b_3"
"fourth-148b64932d35248ab60caffa","Kaleidoscope R0461 - percussion 1b","Kaleidoscope","rhythmic","1","12","3","0.9166666666666666","1.9090909090909092","39","45","#E58DB8","factory, rn, kaleidoscope, rhythmic, 1bar, triplet, 3spq, dense, percussion, anchored, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-49","nmsgygm84_6"
"fourth-b5244a547032c16970dbe219","Kaleidoscope R0462 - kit 4b","Kaleidoscope","rhythmic","4","64","4","0.953125","1.9344262295081966","36","51","#E58DB8","factory, rn, kaleidoscope, rhythmic, 4bar, straight, 4spq, dense, kit, displaced, tight, composite, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-46","nmsj94lub_3"
"fourth-ab9e4c68fe82a1bf5210fee7","Kaleidoscope R0463 - kit 2b","Kaleidoscope","rhythmic","2","64","8","0.796875","1.5686274509803921","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 8spq, dense, kit, displaced, tight, cell, 8lane, 3bit","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-49","nmsgygm84_6"
"fourth-b2b046436cc62db1f3461eb6","Kaleidoscope R0464 - kit 2b","Kaleidoscope","rhythmic","2","32","4","0.5625","1.5","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 4spq, open, kit, displaced, tight, structure, 8lane, 3bit","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-7","nmsj93mq4_1"
"fourth-e8c7b147984c43b4f0c9c516","Kaleidoscope R0465 - kit 1b","Kaleidoscope","rhythmic","1","16","4","0.875","1.5","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 1bar, straight, 4spq, dense, kit, displaced, tight, structure, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-46","nmsj93mq4_1"
